"January 12, 2020",Good system good games bad priced games,I lile to be able to take my switch anywhere but I dont like how expensive all the games are that's my only complaint,5.0,positive
"January 12, 2020",Nostalgia,Brings back childhood memories. My 4 year old loves it. We often play together.,5.0,positive
"January 12, 2020",Good product,"Takes me back to my nitendo days! I just wish it wasn't so expensive!!! Games are $50 each,  extra joycons are $60..... I'm hoping the durability makes up for the huge price tag!",5.0,positive
"January 12, 2020",So nice,Extremely nice and compact gaming console. Well made and nice to game at home or on the go,5.0,positive
"January 12, 2020",No,Good for playing on the Nintendo switch,5.0,positive
"January 12, 2020",Great purchase,"I bought this for my nephew, and it had everything he needs to connect it to the TV or to play himself. He is so happy! Fast shipping and a smooth transaction",5.0,positive
"January 12, 2020",5 stars,"Great product food price, and always love prime shipping!",5.0,positive
"January 12, 2020",Great system,Everything looks / works great except I'm having to send the left joycon to Nintendo for repair already... ot was acting up 3 days after we got it.,4.0,positive
"January 12, 2020",Works great,I bought this as a Christmas gift. My son loves this!,5.0,positive
"January 12, 2020",👍🏾,👍🏾,5.0,positive
"January 12, 2020",Amazing Console.,Great Console and brings back childhood memories.,5.0,positive
"January 12, 2020",First time gamer,"An awesome console. Love the portability and simplicity. I was never really a gamer, so I was scared of getting a console but this ones amazing for first time gamers.",5.0,positive
"January 12, 2020",Great,Great,5.0,positive
"January 12, 2020",i like it,i like it',5.0,positive
"January 12, 2020",Awesome delivery time,Loved the delivery time thanks guys your awesome my son was very happy he didn't had to wait a whole month,5.0,positive
"January 12, 2020",Much better than stupid Xbox,"It is so much easier to play then Xbox, much better for kids to play.",5.0,positive
"January 12, 2020",Wonderful present.,Great system! Shipped as expected!,5.0,positive
"January 12, 2020",Fun to play,I bought 3 for the grandkids. There are enough free/cheap games to keep them happy. Online parental controls are really nice.,5.0,positive
"January 12, 2020",Awesome,Took a while to get to me but great!,5.0,positive
"January 12, 2020",Worth it,Everyone in the family approves!,5.0,positive
"January 12, 2020",Great,Love it,5.0,positive
"January 12, 2020",Great present,Good deal,5.0,positive
"January 12, 2020",Switchreview,My kid can not out it down!! I esspecially like it because as a parent I am able to control his playing time!,4.0,positive
"January 12, 2020",2019 Christmas gift,Purchased it for my 17 yr old Granddaughter & she seems to love it,5.0,positive
"January 12, 2020","Nintendo Switch ,nice multi purpose item.",It does what its suppose to do and keeps charge well.,4.0,positive
"January 12, 2020",Lo maximo,El producto era para el sobrino de mi esposa y le encanto,5.0,positive
"January 12, 2020",as expected,"I ordered thus product to be shipped in UAE. The product is fine and working well, however, I will never order such kind a products to be shipped to UAE, due to tax fees",5.0,positive
"January 12, 2020",Happy Clicky Snappy,The switch is such a satisfying console to deal with. All clicky and snappy. Plus it has Super Smash Bros Ultimate so there's that too!,5.0,positive
"January 12, 2020",Great system for the Mario lover and more,Great casual gaming. I suggest hunting down the physical disks over utilizing the Nintendo store if she'd like to maximize your dollar value in a long run. If you have large hands I'd also suggest getting a remote control that fits your hands. I like that the switch has so many options available of controllers. all of the players in my house have been able to find forms that are comfortable for them. As a huge Mario fan there's no other place for me to get these titles. the biggest hit on the system is that many of the streaming services do not have applications or programs available at this time which is just strange to me.,5.0,positive
"January 11, 2020",Great,Bought  this for my grandsons Christmas gift.  He loved it! Works great!,5.0,positive
"January 11, 2020",Have your 13 year old set up for their father!,Great game. Good but.,5.0,positive
"January 11, 2020","For $300 dollars, I would expect better quality...","My grandson loves the game but one of the buttons on the joystick fell off after 3 weeks... I am sending it back and they are sending a new one,  so hopefully the new one will be good... concerned about the quality... it was $300, I certainly hope the replacement will be good!",3.0,negative
"January 11, 2020",Well done,Everything that was described was included and delivered on time. All parts and machine work and had no Damages to the box (which should probably be a review for UPS),5.0,positive
"January 11, 2020",Be careful!,"Onr of the controllers came in damaged.  My kids could not wait for repairs, so I reordered a new set of joy con controllers.  Should have been given to me instead.",1.0,negative
"January 11, 2020",Just get it!,Daughter loves this.  Best system ever,5.0,positive
"January 11, 2020",Good times,Our Kids love it,5.0,positive
